version,num_classes,DIT_mean,NOC_mean,WMC_mean,CBO_mean,RFC_mean,LCOM_mean,NOM_mean,NOA_mean,MPC_mean,DAC_mean,DIT_max,NOC_max,WMC_max,CBO_max,RFC_max,LCOM_max,NOM_max,NOA_max,MPC_max,DAC_max
1.14.1,144,0.75,0.5556,18.0347,3.25,18.9583,126.2014,9.0833,2.2361,17.3403,0.4167,3,24,260,21,240,7365,126,38,323,10
1.14.3,144,0.75,0.5556,18.8194,3.3611,19.6875,133.7361,9.3681,2.3681,18.1528,0.4236,3,24,262,22,243,7626,128,40,327,10
1.15.1,148,0.75,0.5608,18.4932,3.3108,19.3041,135.027,9.1216,2.3446,17.973,0.4189,3,28,272,23,253,8391,134,38,340,10
1.15.4,150,0.74,0.5467,19.0,3.28,19.8733,141.88,9.3667,2.4533,18.5933,0.4133,3,28,277,24,258,8676,136,38,350,10
1.16.2,152,0.7368,0.5526,19.5987,3.3026,20.4342,146.7697,9.6316,2.5395,19.0263,0.4079,3,29,270,24,270,9068,140,40,345,10
1.17.2,160,0.7125,0.525,19.0562,3.1875,19.9438,141.6062,9.325,2.4875,18.2188,0.4125,3,29,273,24,282,9636,144,40,356,10
1.18.3,164,0.689,0.5183,19.2866,3.2683,20.2866,142.311,9.4756,2.5793,18.5061,0.4817,3,30,271,24,282,9636,144,40,354,10
1.19.1,166,0.6867,0.5181,19.4096,3.2831,20.4398,145.506,9.512,2.6084,18.5843,0.5,3,30,275,26,289,10202,148,40,357,12
1.20.1,170,0.6824,0.5118,19.2765,3.3176,20.5588,150.8824,9.6471,2.4529,18.5412,0.4647,3,30,262,28,287,10196,148,39,348,9
1.21.2,179,0.7207,0.5307,19.0503,3.3687,20.3073,149.6257,9.5587,2.419,18.1453,0.4581,3,30,275,26,301,11508,157,39,371,9
1.22.2,184,0.7065,0.5326,19.2174,3.3804,20.4239,148.6957,9.5761,2.4457,18.2283,0.4891,3,30,275,27,298,11508,157,39,371,9
