version,class,DIT,NOC,WMC,CBO,RFC,LCOM,NOM,NOA,MPC,DAC,CIS,DAM,MFA,NOP,MOA,CAM,DCC,kind,is_abstract
1.14.1,Connection,0,1,37,4,37,666,37,0,0,0,0,1.0,0.0,37,0,0.0637,4,interface,1
1.14.1,Method,0,0,1,0,1,0,1,1,0,0,1,1.0,0.0,0,0,0.0,0,enum,0
1.14.1,Base,0,2,18,1,18,153,18,0,0,0,0,1.0,0.0,18,0,0.2407,1,interface,1
1.14.1,Request,1,0,23,3,23,253,23,0,0,0,0,1.0,0.439,23,0,0.0807,3,interface,1
1.14.1,Response,1,0,10,1,10,45,10,0,0,0,0,1.0,0.6429,10,0,0.1,1,interface,1
1.14.1,KeyVal,0,0,9,0,9,36,9,0,0,0,0,1.0,0.0,9,0,0.2222,0,interface,1
1.14.1,HttpStatusException,0,0,3,0,3,1,3,2,0,0,3,1.0,0.0,2,0,0.0,0,class,0
1.14.1,Jsoup,0,0,21,8,35,190,21,0,29,0,20,1.0,0.0,0,0,0.2,8,class,0
1.14.1,SerializationException,0,0,4,0,4,0,4,0,0,0,4,1.0,0.0,0,0,0.0,0,class,0
1.14.1,UncheckedIOException,0,0,3,0,4,0,3,0,1,0,3,1.0,0.0,1,0,0.0,0,class,0
1.14.1,UnsupportedMimeTypeException,0,0,4,0,4,0,4,2,0,0,4,1.0,0.0,3,0,0.0,0,class,0
1.14.1,HtmlToPlainText,0,0,6,7,12,1,2,2,10,0,2,1.0,0.0,1,0,0.5,7,class,0
1.14.1,FormattingVisitor,0,0,18,3,15,6,4,3,18,0,3,1.0,0.0,3,0,0.4167,3,class,0
1.14.1,ListLinks,0,0,8,4,19,3,3,0,16,0,1,1.0,0.0,0,0,0.5556,4,class,0
1.14.1,Wikipedia,0,0,3,3,11,1,2,0,9,0,1,1.0,0.0,0,0,1.0,3,class,0
1.14.1,ChangeNotifyingArrayList,0,1,13,0,14,66,13,0,11,0,12,1.0,0.0,12,0,0.2708,0,class,1
1.14.1,CookieUtil,0,0,14,3,22,6,4,4,23,0,0,1.0,0.0,0,0,0.35,3,class,0
1.14.1,DataUtil,0,0,68,11,69,49,12,7,71,0,4,0.4286,0.0,0,0,0.2208,11,class,0
1.14.1,BomCharset,0,0,1,0,1,0,1,2,0,0,1,1.0,0.0,0,0,0.0,0,class,0
1.14.1,HttpConnection,0,0,62,8,88,914,47,12,84,1,40,0.5833,0.0,37,1,0.0699,8,class,0
1.14.1,Validate,0,0,25,0,15,66,13,0,3,0,12,1.0,0.0,0,0,0.4444,0,class,0
1.14.1,W3CDom,0,0,21,6,44,36,10,1,37,0,8,1.0,0.0,3,0,0.25,6,class,0
1.14.1,W3CBuilder,0,0,20,6,34,4,5,7,35,2,3,1.0,0.0,2,2,0.5833,6,class,0
1.14.1,ConstrainableInputStream,0,0,23,1,15,5,7,7,10,0,5,1.0,0.0,4,0,0.25,1,class,0
1.14.1,Normalizer,0,0,5,0,7,3,3,0,5,0,3,1.0,0.0,0,0,0.6667,0,class,0
1.14.1,StringUtil,0,0,59,3,61,151,18,6,54,0,18,0.8333,0.0,0,0,0.1746,3,class,0
1.14.1,StringJoiner,0,0,5,1,7,0,4,3,5,0,4,0.0,0.0,3,0,0.6667,1,class,0
1.14.1,Attribute,0,0,40,6,45,13,20,4,34,1,13,0.75,0.0,12,1,0.1944,6,class,0
1.14.1,Attributes,0,0,84,8,69,107,35,9,63,0,25,0.5556,0.0,25,0,0.0857,8,class,0
1.14.1,Dataset,0,0,4,2,7,1,3,1,4,1,2,1.0,0.0,2,1,0.5,2,class,0
1.14.1,EntrySet,0,0,3,1,3,1,2,0,1,0,2,1.0,0.0,2,0,0.0,1,class,0
1.14.1,DatasetIterator,0,0,5,1,11,3,3,2,9,1,3,1.0,0.0,3,1,0.0,1,class,0
1.14.1,CDataNode,3,0,7,3,8,10,6,0,4,0,4,1.0,0.9394,5,0,0.4,3,class,0
1.14.1,Comment,2,0,20,6,36,45,11,0,31,0,8,1.0,0.8764,7,0,0.2,6,class,0
1.14.1,DataNode,2,0,9,3,14,28,9,0,6,0,7,1.0,0.8966,5,0,0.25,3,class,0
1.14.1,Document,2,0,59,14,74,382,30,7,80,5,26,1.0,0.8624,24,5,0.056,14,class,0
1.14.1,OutputSettings,0,0,19,3,27,100,17,8,13,3,15,0.875,0.0,14,3,0.0729,3,class,0
1.14.1,Syntax,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,enum,0
1.14.1,QuirksMode,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,enum,0
1.14.1,DocumentType,2,0,20,4,17,20,10,6,15,0,6,0.6667,0.8864,7,0,0.2222,4,class,0
1.14.1,Element,1,3,260,21,240,7365,126,7,323,2,107,0.8571,0.3298,110,2,0.0411,21,class,0
1.14.1,NodeList,1,0,2,2,3,0,2,1,1,1,1,1.0,0.8667,1,1,0.0,2,class,0
1.14.1,Entities,0,0,47,9,42,46,13,6,37,1,7,0.8333,0.0,0,1,0.2222,9,class,0
1.14.1,EscapeMode,0,0,7,0,4,3,3,4,2,0,0,1.0,0.0,0,0,0.3333,0,enum,0
1.14.1,CoreCharset,0,0,3,0,3,0,1,0,2,0,0,1.0,0.0,0,0,1.0,0,enum,0
1.14.1,EntitiesData,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0,0,0.0,0,class,0
1.14.1,FormElement,2,0,23,9,32,13,7,1,29,1,6,1.0,0.9641,6,1,0.1667,9,class,0
1.14.1,LeafNode,1,5,24,3,26,78,16,1,23,0,9,0.0,0.7949,12,0,0.25,3,class,1
1.14.1,Node,0,2,116,9,127,1412,62,4,162,0,41,0.0,0.0,56,0,0.0689,9,class,1
1.14.1,OuterHtmlVisitor,0,0,6,4,8,0,3,2,5,1,2,1.0,0.0,2,1,1.0,4,class,0
1.14.1,NodeUtils,0,0,5,4,5,1,2,0,4,0,0,1.0,0.0,0,0,1.0,4,class,0
1.14.1,PseudoTextElement,2,0,3,4,3,1,3,0,0,0,1,1.0,0.9843,2,0,1.0,4,class,0
1.14.1,TextNode,2,1,27,6,37,91,15,0,30,0,10,1.0,0.8387,8,0,0.1714,6,class,0
1.14.1,XmlDeclaration,2,0,14,5,22,28,9,1,16,0,6,1.0,0.8966,5,0,0.3333,5,class,0
1.14.1,CharacterReader,0,0,155,3,69,0,44,15,82,0,11,0.8,0.0,8,0,0.1122,3,class,0
1.14.1,HtmlTreeBuilder,1,0,189,16,156,3120,81,22,200,6,1,0.6364,0.1383,5,6,0.0707,16,class,0
1.14.1,HtmlTreeBuilderState,0,0,6,3,12,10,5,1,11,0,0,1.0,0.0,1,0,0.5333,3,enum,0
1.14.1,Constants,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0,0,0.0,0,class,0
1.14.1,ParseError,0,0,5,0,6,0,5,2,1,0,3,1.0,0.0,3,0,0.0,0,class,0
1.14.1,ParseErrorList,0,0,6,0,7,0,6,3,1,0,2,1.0,0.0,0,0,0.25,0,class,0
1.14.1,Parser,0,0,25,10,37,152,22,3,23,3,21,1.0,0.0,12,3,0.1187,10,class,0
1.14.1,ParseSettings,0,0,11,1,10,2,7,4,5,0,5,0.5,0.0,4,0,0.3,1,class,0
1.14.1,Tag,0,2,43,3,33,82,21,17,15,0,17,1.0,0.0,15,0,0.075,3,class,0
1.14.1,Token,0,3,17,1,20,75,16,1,4,1,0,0.0,0.0,1,1,0.0667,1,class,1
1.14.1,Doctype,1,0,7,1,9,11,7,5,4,0,2,0.0,0.6957,3,0,0.0,1,class,0
1.14.1,StartTag,1,0,6,2,9,3,4,0,5,0,1,1.0,0.84,2,0,0.3333,2,class,0
1.14.1,EndTag,1,0,2,1,3,0,2,0,1,0,1,1.0,0.913,1,0,0.0,1,class,0
1.14.1,Character,1,1,5,1,6,0,5,1,1,0,1,1.0,0.7619,2,0,0.25,1,class,0
1.14.1,CData,2,0,2,1,4,0,2,0,2,0,1,1.0,0.913,1,0,0.0,1,class,0
1.14.1,EOF,1,0,3,1,3,1,3,0,0,0,1,1.0,0.8421,2,0,0.0,1,class,0
1.14.1,TokenType,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,enum,0
1.14.1,Tokeniser,0,0,78,9,73,309,28,21,75,10,0,0.5238,0.0,0,10,0.0741,9,class,0
1.14.1,TokeniserState,0,0,24,3,26,15,6,6,32,0,0,0.5,0.0,1,0,0.8889,3,enum,0
