version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
1.14.1,1.0,1.0,-0.99,1.0,1.0,1.0
1.14.3,0.9973,1.0075,-1.03,1.007,0.9942,1.0056
1.15.1,1.0065,0.9952,-1.0069,0.9861,0.9887,0.999
1.15.4,1.0272,1.0107,-1.0345,1.0027,1.0029,1.0
1.16.2,1.0139,1.018,-1.0969,1.0053,1.0702,1.0225
1.17.2,1.0318,1.0076,-1.0762,0.982,1.053,1.0072
1.18.3,1.0506,1.0858,-1.0917,0.994,1.0141,1.029
1.19.1,1.0567,1.1024,-1.1045,0.9975,1.0128,1.0343
1.20.1,1.0795,1.0571,-1.134,0.9934,1.0028,1.0098
1.21.2,1.086,1.0455,-1.1821,1.0342,1.0891,1.0448
1.22.2,1.0925,1.0783,-1.1914,1.0711,1.059,1.0504
