version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
1.14.1,73.9693,2.2364,-53.1587,36.7011,1.524,1.5181
1.14.3,74.0019,2.2651,-53.3321,36.752,1.5242,1.5398
1.15.1,75.9357,2.2142,-54.5085,37.3501,1.4867,1.5147
1.15.4,77.0355,2.3241,-55.3084,37.8768,1.601,1.5531
1.16.2,78.0414,2.4146,-56.145,38.3666,1.7068,1.596
1.17.2,81.9771,2.3351,-58.5733,39.8187,1.6459,1.5464
1.18.3,84.0163,2.3616,-59.9717,40.7305,1.6028,1.5584
1.19.1,85.0126,2.3661,-60.6555,41.172,1.598,1.5598
1.20.1,87.0657,2.3692,-62.0618,41.8748,1.6117,1.5601
1.21.2,91.4786,2.3515,-65.0334,44.261,1.6241,1.5744
1.22.2,93.9583,2.3346,-66.668,45.7793,1.5756,1.5653
